"Name of Village","Property Type","Price Low Season","Sale Price","Description","Listing Status"
"habitia","house","37K","","🏡 House for Rent – Fully Furnished & Ready to Move In
Habitia Koh Kaew
💰 Rental Price: 37,000 THB / month

📄 Contract: 1-year lease

🔒 Security Deposit: 2 months

💵 Advance Rent: 1 month
Property Details
• 🛏️ 3 Bedrooms
• 🛁 2 Bathrooms
• 🛋️ Fully furnished with complete electrical appliances
• 🚪 Ready to sign contract & move in
• ❌ No pets allowed
Prime Location
• Close to British International School Phuket (BISP)
• Near New Robinson Thalang
• Only 15 minutes to Central Phuket
• Near fresh markets, community areas & convenience stores
• Easy access with multiple routes
Facilities & Services
• 🛡️ 24-hour security
• 🧹 Free housekeeping once a month
• 📶 Free Wi-Fi internet
• 💳 Keycard access
• 🏊 Swimming pool & fitness center
• 🌳 Public park & lake for walking and relaxation
• 🛝 Children’s playground
📐 Land Size: 35.1 sq.wah

📍 Location: Koh Kaew, Phuket
📩 Interested in viewing?

Contact K. Thanya

📱 WhatsApp: wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX

🔗 Facebook Page: https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr
#PhuketHouseForRent #KohKaewPhuket #HabitiaPhuket #PhuketLiving #FamilyHomePhuket #LongTermRental #FullyFurnishedHouse #PhuketRealEstate",""
"sino","house","55","","🏡 House for Rent – Supicha Sino Khaokaew (Near BISP)
📍 Supicha Sino Khaokaew
💰 Rental Price: 55,000 THB / month

📄 Contract: 1-year agreement

🔒 Deposit: 2 months

💵 Advance: 1 month
Property Features
• 📐 Land Size: 51 sq.wah
• 🛏️ 4 Bedrooms
• 🛁 3 Bathrooms (Master en-suite)
• 🛋️ Living room
• 🍽️ Built-in kitchen
• 🧺 Washing & drying zone
• 🚗 2 car parking spaces
• 🌿 Garden with water feature
• ☕ Balcony with coffee table
Facilities
• 🏊‍♂️ Common swimming pool (salt system) + kids’ pool
• 🏋️ Gym
• 🛡️ 24-hour security
• 📹 4 private CCTV cameras inside the house
Fully Furnished – Ready to Move In
• 📺 50” Smart TV
• ❄️ Large refrigerator
• 🍳 Microwave
• 🧊 2 Freezers
• 🔥 Oven
• ❄️ 5 Air-conditioners
• 🛋️ Sofa
• 🧼 Washing machine
• 🚿 2 Water heaters (showers)
• 💦 Water filter
Price Includes
• 🔥 Free Wi-Fi
• 🧹 House cleaning 2 times/month
• 🌱 Garden care once/month
Excluded
• ⚡ Electricity (government rate)
• 💧 Water usage
🐕 Small pets allowed
Nearby
• ⏱️ 2 mins to British International School Phuket & Finway School
• ⏱️ 5 mins to Villa Market & Boat Marina
• ⏱️ 15 mins to Central Festival Phuket
• ⏱️ 20 mins to Siriroj Bangkok Hospital
• ⏱️ 30 mins to Patong Beach
• ⏱️ 40 mins to Phuket International Airport
📩 Interested in viewing?

Contact K. Thanya

📱 WhatsApp: wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX

🔗 Facebook Page: https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr
#HouseForRentPhuket #KohKaewPhuket #NearBISP #FamilyHomePhuket #PetFriendlyPhuket #PhuketLiving #LongTermRental #FullyFurnishedHouse",""
"super cheap","house","70K","14.9","VILLA FOR RENT near BISP | Kohkaew, Phuket

💰 70,000 THB / month

💼 Selling Price: 14.7 Million THB (Freehold)
🏡 Property Highlights
• Ready to move in
• 4 Bedrooms | 4 Bathrooms
• Land area: 400 sqm
• Tropical modern garden-style villa
• Peaceful and private environment
• Ideal for families and long-term living
📍 Prime Location – Excellent Accessibility
• British International School Phuket (BISP): 6 km (10-minute drive)
• HeadStart International School: 7 km
• KFC / Pizza Company: 800 m
• Hypermarket: 1 km
• IKEA: 3 km
• Central Festival & Phuket Old Town: 5 km
🌿 Your Private Oasis in the Heart of the City
Step away from the chaos and into serenity. This tropical modern garden home offers a true resort-style living experience—spacious, tranquil, and thoughtfully designed for family life.

Located in the city center, the villa blends oriental elegance with contemporary comfort, creating a peaceful retreat while remaining close to every convenience Phuket has to offer.
📩 Interested in a private viewing? Contact K. Thanya

📱 WhatsApp: https://wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX

🔗 Facebook Page: https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr
#VillaForRentPhuket #VillaForSalePhuket #BISPPhuket #KohkaewPhuket #FamilyHomePhuket #FreeholdVilla #PhuketRealEstate #GardenVilla #CityLivingPhuket #InvestmentPropertyPhuket","5"
"kokaew","house","","11.9","🏡 POOL VILLA FOR SALE near BIS British International School, Phuket

📍 Tharua – Koh Kaew Area (Opposite Kruwitt 2 Pier)
🚨 HOT SALE – Construction 90% Completed 🚨
Modern pool villa in a prime location, ideal for family living or investment near BIS British International School.
Property Details:

✅ Land size: 90 sq.wah

✅ 3 Bedrooms | 3 Bathrooms

✅ Private swimming pool 5 x 10 meters

✅ Built-in kitchen

✅ Groundwater well system

✅ Electric gate

✅ Quiet and convenient residential area
💰 Selling Price: 11.9 Million THB

❗ Furniture not included
📩 Interested in a private viewing? Please contact K. Thanya

📱 WhatsApp: https://wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX

🌐 Facebook Page: https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr
#PoolVillaPhuket #VillaForSalePhuket #BISPhuket #LuxuryVillaPhuket #KohKaewPhuket #TharuaPhuket #PhuketProperty #PhuketRealEstate #InvestmentPropertyPhuket","7"
"kokaew","Pool Villa","","14.9 7%","🏠 The Empire Koh Kaew (Premier Village)

📍 Only 1.9 km to British International School (BIS)
Property Details

✔️ Usable area: 381.87 sq.m.

✔️ Land size: 302 sq.m. (75.50 sq.wah)

✔️ 3 Bedrooms | 3 Bathrooms

✔️ Bright and spacious living area

✔️ Fully built-in kitchen with complete appliances

✔️ Private swimming pool 7 × 3.2 m

✔️ Parking for 2 cars

✔️ Beautifully landscaped garden
🔥 Huge price reduction – 2,000,000 THB (Rare deal in Phuket’s villa market)

💰 Special Price: 14,900,000 THB
📩 Private viewing – please contact K. Thanya

📱 Whatsapp: https://wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX

🌐 Facebook Page: https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr
#PhuketProperty #KohKaew #PoolVillaPhuket #LuxuryVilla #VillaNearBIS #PhuketRealEstate #HouseForSalePhuket #InvestmentProperty #PrivatePoolVilla",""
"Lagoon","house","50k","","
🏡 Supalai Lagoon Koh Kaew – House for Rent

💰 50,000 THB / month (1-year lease)

Spacious family home in a prime Koh Kaew location, ideal for comfortable long-term living.

Property Details
• 🛏 3 Bedrooms
• 🛁 3 Bathrooms
• 🌿 Spacious living area with garden
• 📶 WiFi included
• 🚗 Parking available

Location Highlights
• ☕ 3 minutes to Starbucks & Chic Republic
• 🎓 9 minutes to British International School (BIS)
• ⛵ 2 minutes to Boat Lagoon
• Easy access to Phuket Town & main roads

📩 Interested in a private viewing? Please contact K. Thanya
📱 WhatsApp: https://wa.me/66659594299
📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX
🔗 Facebook Page: https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr

#SupalaiLagoon #KohKaew #HouseForRentPhuket #FamilyHomePhuket #NearBIS #BoatLagoon #PhuketRental #PhuketRealEstate",""
"sansiri kokaew","house","100K","","🏡 Brand New House – Saransiri Kohkeaw Retreat

💥 Available Now – Move in Today
🗺️ Prime Location

Near British International School (BISP), Finnway, Boat Lagoon & Royal Phuket Marina
💵 Rental Price: 100,000 THB / Month
• 1 Year Contract
• 2 Months Deposit
• 1 Month in Advance
🎯 Property Details
• Land Size: 55 sq.w.
• Total Area: 165 sq.m.
• 🛏️ 3 Bedrooms
• 🛁 3 Bathrooms
• 💻 1 Working Room
• 🍽️ 1 Kitchen
• 📺 1 Living Room
• 🚗 Private Parking
• ❄ Air conditioning in all rooms
• ✨ Fully furnished with electrical appliances
• 🌳 Quiet & secure neighborhood
✨ Facilities
• 👮‍♂️ 24-hour security
• 📹 CCTV
• 🏋️ Fitness center
• 🏊 Swimming pool
• 👶 Kids room
🐶🐱 Pet allowed (case by case)
📩 Interested in a private viewing? Contact K.Thanya

📱 Whatsapp: wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX

🌐 Facebook: https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr
#SaransiriKohkeaw #HouseForRentPhuket #Kohkeaw #NearBISP #PhuketProperty #PhuketRental #FamilyHomePhuket #PetFriendlyPhuket",""
"Burasiri","house","62K","9.89MB","🏡 Detached House Opposite British International School (BIS)

📍 Location: Soi 1, House No. 159/7

📐 Land Size: 65.5 sq.wah

🛏️ 3 Bedrooms | 🛁 3 Bathrooms
✨ Key Highlights
• Parking for up to 4 cars 🚗

👉 The only house in the entire project with 4-car parking
• Prime location directly opposite BIS
• Perfect for family living or high-demand rental to international tenants
💰 Rental Price: 62,000 THB / month
• 2 months advance payment
• 1 month security deposit
• 1 month commission
💰 Selling Price: 9.89 Million THB
📩 For private viewing, please contact K.Thanya

📱 Whatsapp: wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX

🔗 Facebook Page: https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr
#PhuketProperty #BISPhuket #BritishInternationalSchool #PhuketHouseForRent #PhuketHouseForSale #KohKaewProperty #PhuketRealEstate #PhuketFamilyHome #ThanyaProperty #PhuketInvestment",""
"lake view","house","75K","","🏡 House for Rent – Supalai Lake Ville, Koh Kaew, Phuket

Located in a peaceful residential community with full facilities, close to international schools and Phuket Town.

✨ Property Details

• 4 Bedrooms

• 3 Bathrooms

• 2 Parking Spaces

• Close to clubhouse & common area
💰 Rental Price

• 75,000 THB / month (1-year contract)

• 80,000 THB / month (6-month contract)
🔒 Terms

• 2 months security deposit + 1 month advance rent

• Pets: Upon consideration
🎁 Special for Tenants

• Free garden maintenance (1 time/month)

• Free common area fee

• Free access to swimming pool & fitness center

• Water, electricity, and internet paid according to government bills
📍 Prime location in Koh Kaew – easy access to international schools, marinas, and Central Festival Phuket.
📩 For private viewing, please contact K.Thanya

📱 Whatsapp: wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX

🌐 Facebook Page: https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr
#PhuketProperty #HouseForRentPhuket #KohKaew #SupalaiLakeVille #PhuketRental #PhuketRealEstate",""
"mono kokaew","house","55K","","🏡 Minimal Style Home for Rent – British International School Zone

✨ Pet-friendly home in a prime Koh Kaew location — perfect for families working or studying near international schools.
📍 Prime Location
• Near British International School Phuket zone

• 30 minutes to Phuket International Airport

• 15 minutes to Central Phuket

• 15 minutes to Phuket Old Town

• 5 minutes to Robinson Lifestyle Thalang

• 10 minutes to leading private hospitals

• 5 minutes to Boat Lagoon Marina
🏠 Property Details
• Land Size: 38.40 sq.wah

• 3 Bedrooms

• 3 Bathrooms

• 1 Kitchen (Built-in electric system)

• 1 Laundry area

• 2 Bedrooms fully furnished — move-in ready
⚡ Appliances & Features
• 4 Air-conditioners (free maintenance throughout tenancy)

• Water heaters

• Washing machine

• Microwave

• Refrigerator

• TV

• Digital door lock

• Water tank with pump system

• 2-Car parking with private gate
🏘 Community Facilities
• Keycard access system

• 24-hour security

• Free annual common area fee

• Gym

• Swimming pool
📄 Rental Terms
• Long-term contract (12–24 months)

• Water & electricity charged by government meter

• Pet-friendly (dogs & cats allowed – enclosed system)
✨ Ideal for families looking for comfort, security, and convenience in Koh Kaew.
📩 For private viewing, please contact K.Thanya

📱 Whatsapp: wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX

🌐 Facebook Page: https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr
#KohKaewHouse #BISPZone #PetFriendlyPhuket #PhuketRental #MinimalStyleHome #PhuketProperty #PhuketRealEstate",""
"kokaew","Pool Villa","160K","26.9","Pool Villa – Koh Kaew 31/3, Phuket

💰 Rent: 160,000 THB/month (Yearly tenant until end of this month)

💰 Sale: 26.9 MB

Deposit: 2 months
📍 Prime Location

• 5 mins to British International School

• On main road before 88 Land & Houses Koh Kaew

• Opposite Supalai Lake Ville Koh Kaew
🏡 Property Details

• 2-Storey Pool Villa

• 4 Bedrooms | 3 Bathrooms

• Land: 124 sq.w.

• House usable area: 411.35 sq.m.

• Pool area: 47.05 sq.m. (Salt system, circulation system)

• Outdoor usable area: 180 sq.m.
✨ Features

• Teak wood throughout the house

• Marble flooring + marble swimming pool

• Anti-theft system + CCTV

• Private well + plumbing system

• Water storage tank

• Full-option imported furniture
📩 Private viewing – Contact K.Thanya

📱 Whatsapp: wa.me/66659594299

📲 LINE: https://line.me/ti/p/7Cr_f-bvBX

🌐 Facebook: https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr
#KohKaewVilla #PhuketRealEstate #PoolVillaPhuket #PhuketProperty #VillaForRent #VillaForSale #PhuketInvestment #LuxuryVilla",""
"Burasiri","house","58K","9.89MB","Burasiri Koh Kaew – House for Rent / Sale

Prime location directly opposite the fence of British International School, Phuket
Property Details

• 3 Bedrooms

• 3 Bathrooms

• Land Size: 65.5 sq.wah


• Parking for 4 cars – the only house in the project with space for 4 cars
Perfect for families looking to live close to international schools, marinas, and Phuket Town.
Price

💰 Sale Price: 9.89 MB

🏡 Rental Price: 58,000 THB / month

• 2 months advance payment

• 1 month agent commission
📩 Private viewing available – Contact K.Thanya

📱 Whatsapp: wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX
Facebook Page:
https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr
#BurasiriKohKaew #KohKaewPhuket #PhuketHouseForSale #PhuketHouseForRent #PhuketRealEstate #HouseNearBIS #BritishInternationalSchoolPhuket #PhuketProperty #PhuketInvestment #PhuketLiving",""
"saransiri","house","68K","12.9","Saransiri Koh Kaew – Corner House Opposite British International School Phuket

🏡 House for Rent / Sale – Prime Location
Located directly opposite British International School Phuket, this corner single house offers extra privacy and space, perfect for families.
Property Details

• Land Size: 65.5 sq.wah

• 4 Bedrooms

• 2 Bathrooms

• 1 Home Office (can be converted into a 5th bedroom)

• Upstairs exercise area / multipurpose space

• 2 Storage rooms downstairs

• Fully Furnished – Ready to Move In
Included Appliances

• 6 Air Conditioners

• TV

• Refrigerator

• Washing Machine

• Internet
Price

🏡 Rental Price: 68,000 THB / month

• 2 months advance payment

• Currently rented on a yearly contract

• Available to move in: 10 April
💰 Sale Price: 12.9 MB
📩 Private viewing available – Contact K.Thanya

📱 Whatsapp: wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX
Facebook Page:
https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr
#SaransiriKohKaew #KohKaewPhuket #HouseNearBIS #BritishInternationalSchoolPhuket #PhuketHouseForRent #PhuketHouseForSale #PhuketRealEstate #PhuketProperty #FamilyHomePhuket #LivingInPhuket","6"
"Supalai bella kokaew","house","45K","","House for Rent – Supalai Bella Koh Kaew, Phuket
Comfortable family home located in a peaceful residential area in Koh Kaew, with convenient access to British International School, marinas, and Phuket Town.
• 3 Bedrooms

• 2 Bathrooms

• Spacious living area

• Quiet neighborhood

• Cat friendly 🐱
💰 Rent: 45,000 THB / month

📄 1-year contract
📩 For private viewing please contact K. Thanya

📱 WhatsApp: wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX

Facebook: https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr
#phukethouseforrent #kohkaewphuket #supalai #phuketproperty #phuketrental #phuketrealestate #houseforrentphuket #phuketliving",""
"เจ้าฟ้าการ์เด้น","Pool Villa","","10.9 5%","",""
"Lake view kokaew","house","","","",""
"passorn kokaew","house","45K","","House for Rent – Passorn Koh Kaew, Phuket

Property Details

• 3 Bedrooms

• 1 Home Office / Study Room

• 2 Bathrooms
Rental Price

• 45,000 THB / month – 1 year contract

• 50,000 THB / month – 6 months contract
Terms

• 2 months security deposit + 1 month advance rent

• Pets: Please inquire first
📩 Private viewing available – please contact K.Thanya

📱 Whatsapp: wa.me/66659594299

📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX

🌐 Facebook Page: https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr
#PhuketProperty #HouseForRentPhuket #KohKaew #PhuketHome #PhuketRealEstate #PhuketLiving #HouseForRent #PhuketAgent #ThailandProperty",""
"เจ้าฟ้าการ์เดนเกาะแก้ว","house","38K","","🏡 House for Sale / Rent – Premier Park Soi 11 | Koh Kaew, Phuket

4 Bedrooms | 3 Bathrooms
Parking for 2 cars
Land size: 156 sqm
Fully furnished | Move-in ready
Digital door lock | Separate kitchen & laundry
2 TVs • Electric oven • Gas stove • Washing machine
24-hour security

📍 Near BIS • Boat Lagoon • Royal Phuket Marina

💰 Rent
38,000 THB/month (1 year)
40,000 THB/month (6 months)

💰 Sale
5.9M THB

📩 Contact K.Thanya
📱 Whatsapp: http://wa.me/66659594299
📲 LINE: https://line.me/ti/p/7Cr_f-bvBX

Facebook Page
https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr

#PhuketProperty #HouseForSalePhuket #HouseForRentPhuket #KohKaewPhuket #PhuketRealEstate",""
"kokaew 23","Pool Villa","80K","15.9 5%"," 🌴 Resort-Style Tropical Pool Villa in Phuket 🏡✨
A peaceful tropical retreat with lush gardens, a spacious pool, and relaxing outdoor living — perfect for private living or investment.
📍 Prime Location in Koh Kaew, Phuket
▪️ Land Size: 644 sqm
▪️ Built-up Area: 244 sqm
▪️ 3 Bedrooms | 3 Bathrooms
▪️ Private Swimming Pool (4 × 10 m) 💦
▪️ Spacious Tropical Garden
▪️ Relaxing Poolside Sala
▪️ Large Outdoor Living Area
📍 Convenient Location
🚗 5 mins to BISP International School
🚗 8 mins to Robinson Lifestyle Thalang
🚗 20 mins to Bangtao Beach
🚗 30 mins to Laguna Phuket
✨ Ideal for families, long-term living, or investors seeking strong rental potential in Phuket.
💰 Rental Price: 80,000 THB / Month
💰 Selling Price: 15.9 Million THB
📩 สนใจเข้าชมบ้านส่วนตัว กรุณาติดต่อ K.Thanya
📱 Whatsapp: wa.me/66659594299
📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX
📘 Facebook Page: https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr
#PhuketProperty #PhuketPoolVilla #PhuketRealEstate #VillaForSalePhuket #LuxuryVillaPhuket #PhuketInvestment #PhuketVillaForRent #PhuketLiving #PoolVillaPhuket #KohKaew","4"
"เจ้าฟ้าการ์เด้น","Pool Villa","85zk","10.9 5%","","3"
"บางชีเล้า 2","house","","4.59 3%","บ้านเดี่ยวทำเลเมือง พร้อมพื้นที่สีเขียวหลังบ้าน 🌿🏡
ซอยบางชีเหล้า 2 — บรรยากาศสงบ แต่เดินทางสะดวก ใกล้ทุกความต้องการ
✨ 3 ห้องนอน 2 ห้องน้ำ
🚗 ที่จอดรถ 2 คัน
📐 ขนาดที่ดิน 52 ตร.ว.
💰 ราคาเพียง 4.59 ล้านบาท
🎁 ฟรีของแถม
✅ เตาแก๊ส
✅ เครื่องดูดควัน (Hood)
✅ ถังเก็บน้ำ
✅ ปั๊มน้ำ
📍 ทำเลดี ใกล้ขนส่งใหม่ และ Super Cheap ใหญ่
เดินทางเข้าเมืองสะดวก เหมาะทั้งอยู่อาศัยและลงทุน
📌 ค่าใช้จ่ายวันโอน
▪️ ค่าโอน + ค่าอากร คนละครึ่ง
▪️ ภาษีธุรกิจ ลูกค้าออกส่วนต่างกรณีกู้เกิน
📩 สนใจเข้าชมบ้านส่วนตัว กรุณาติดต่อ K.Thanya
📱 Whatsapp: wa.me/66659594299
📲 LINE ID: https://line.me/ti/p/7Cr_f-bvBX
📘 Facebook Page: https://www.facebook.com/share/17zfFD16u2/?mibextid=wwXIfr
#บ้านเดี่ยวภูเก็ต #บ้านภูเก็ต #บ้านทำเลเมือง #อสังหาภูเก็ต #บ้านพร้อมอยู่ #PhuketProperty #บ้านสวยภูเก็ต #RealEstatePhuket #บ้านเดี่ยว #บ้านใหม่ภูเก็ต",""
"เจ้าฟ้าการ์เด้น","house","","5.9 3%"," Semi-Detached Home with Single-House FunctionalitySpacious layout, modern design, and perfect privacy for family living  Chaofa Garden Home 3, Koh Kaew 3 Bedrooms | 3 Bathrooms 2 Parking Spaces 2 Master Bedrooms with Ensuite Bathrooms & Private Balconies Every bedroom features large windows for natural light and ventilation Cozy living room with built-in shelving Separate kitchen area with wall-mounted cabinets Land Size: 51 Sq.wah Price Only 5,990,000 THB Free Extras Included Water tank + water pump Gas stove + cooker hood Garden landscaping with trees Transfer fee shared equally Seller pays tax, buyer pays any excess loan difference*House sold unfurnished. Images are for decoration purposes only. บ้านแฝดฟังก์ชันบ้านเดี่ยวพื้นที่กว้าง ฟังก์ชันครบ พร้อมความเป็นส่วนตัว เหมาะสำหรับครอบครัวยุคใหม่  เจ้าฟ้าการ์เดนโฮม 3 เกาะแก้ว 3 ห้องนอน 3 ห้องน้ำ ที่จอดรถ 2 คัน 2 ห้องนอนใหญ่ พร้อมห้องน้ำและระเบียงส่วนตัว ทุกห้องนอนมีหน้าต่าง โปร่ง โล่ง รับแสงธรรมชาติ ห้องนั่งเล่นพร้อมบิ้วอินชั้นวาง ห้องครัวแยกเป็นสัดส่วน พร้อมตู้แขวนติดผนัง ขนาดที่ดิน 51 ตร.ว. ราคาเพียง 5,990,000 บาท ฟรีของแถม ถังน้ำ + ปั๊มน้ำ เตาแก๊ส + เครื่องดูดควัน จัดสวนพร้อมต้นไม้ ค่าธรรมเนียมโอนคนละครึ่ง ภาษีผู้ขายชำระ ส่วนต่างกรณีกู้เกินผู้ซื้อชำระ*ขายบ้านเปล่า รูปภาพใช้เพื่อการตกแต่งตัวอย่างเท่านั้น Private viewing by appointment only — Contact K.Thanya Whatsapp: https://l.facebook.com/l.php?u=https%3A%2F%2Fwa.me%2F66659594299%3Ffbclid%3DIwZXh0bgNhZW0CMTAAYnJpZBExOFp5UDZ0UmVBZlQ3THZ1VnNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR5Q8APEfXYjuumVIWuYqeGcm-picqJM0G1v1eMvAWrmIARnJ2tEb0Uoh2OMcg_aem_9QHPX-196p1VqHE6dnYW9w&h=AUBL908xmrgBQiVDtZS4205jpiKCDAnE6hczj3hTfT8wdHY37OjCpaEmU1V_1Ewsl-CwtYoyG2_-QC21bc7OGMt_m7UtIX-JyhevcOqDlENoBUd8swnzy6FYc4U1ya619mdm&__tn__=-UK-R&c[0]=AUBX0OcD7hp0EFALSBHUVYhK0P-ehO9L-tvXsuPIWZ85SgVyWcI-LreHecktjcAiH9nCtwRATinCELXcsZIac8eFIEZqt2SWUm55-7NJnzjlvqM2_n4z1fgCoBZGcGNzLtY5gslVkZoY2BmVXHSJ60qdGvYEJtHcz0z7coZaai0E3m65VLRGKsEusARKfLIECg LINE ID: https://l.facebook.com/l.php?u=https%3A%2F%2Fline.me%2Fti%2Fp%2F7Cr_f-bvBX%3Ffbclid%3DIwZXh0bgNhZW0CMTAAYnJpZBExOFp5UDZ0UmVBZlQ3THZ1VnNydGMGYXBwX2lkEDIyMjAzOTE3ODgyMDA4OTIAAR4Vev5yrJOzXvdkid1DzrjW8B1A3RiqiWAM98QE8bgFACXsludycxolx6Yzhw_aem_LROPf4dR8SSCvfpuNYv5HQ&h=AUDJ-UEIFOhu1FJJEl9DGZ17d83tPtZ5eyw0SzIE0RRzQFTjZFN1JiUf-PW8UWeVkSp-Ny76m9OLpKPDX67UwRENfLawUGcr8rdY6r05tvIwaGToNpF33jsKHUMU2OZhk8Oe&__tn__=-UK-R&c[0]=AUBX0OcD7hp0EFALSBHUVYhK0P-ehO9L-tvXsuPIWZ85SgVyWcI-LreHecktjcAiH9nCtwRATinCELXcsZIac8eFIEZqt2SWUm55-7NJnzjlvqM2_n4z1fgCoBZGcGNzLtY5gslVkZoY2BmVXHSJ60qdGvYEJtHcz0z7coZaai0E3m65VLRGKsEusARKfLIECg Facebook Page: https://www.facebook.com/groups/1374445276151188/user/61576735767170/?__cft__[0]=AZYDoxL9QyfMM62bmI4lLsj_2Tq18A6Yv_gPB96ZhcgjgrP4vTmf6XkX5vGOncigL73X8-Jee5nhV6xkGcaSXGc6kecJazslv5pVmmdrn1QrIm-SCr3q_NltOaa9XCXnXmUPIbrQgKFvfzO4GbD7X6Y3ADS1KrHCYyhsWpjVJrQWpg&__tn__=-]K-R",""
